"contract_number","td_code","service","deleted","package_reference","email"
"111111",1,"ВЛ",False,NULL,"111111@mail.ru"
"222222",2,"ВЛ",False,NULL,NULL
"222222",3,"ДМФ",False,NULL,NULL
"222222",4,"IPTV",False,NULL,NULL
"222222",5,"IPTV",True,NULL,NULL
"222222",6,"Видеосервис",True,NULL,NULL
"222222",7,"Видеосервис",True,NULL,NULL
"222222",8,"Оборудование",True,NULL,NULL
"222222",9,"КТВ",False,NULL,NULL
"222222",10,"Оборудование",True,NULL,NULL
"222222",11,"Оборудование",True,NULL,NULL
"333333",12,"ВЛ",False,888,"333333@mail.ru"
"333333",888,"Пакет",False,NULL,"333333@mail.ru"
"333333",13,"IPTV",False,888,"333333@mail.ru"
"333333",14,"IPTV",False,888,"333333@mail.ru"
"333333",15,"IPTV",False,888,"333333@mail.ru"
"333333",16,"IPTV",False,888,"333333@mail.ru"
"333333",17,"Оборудование",True,NULL,"333333@mail.ru"
"333333",18,"КТВ",False,NULL,"333333@mail.ru"
